"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2024","Total","Both Sexes","Data tabulated by year of occurrence","Provisional figure","2025","19969",""
"United States of America","2023","Total","Both Sexes","Data tabulated by year of occurrence","Provisional figure","2024","20162",""
"United States of America","2023","Total","Male","Data tabulated by year of occurrence","Provisional figure","2024","11118",""
"United States of America","2023","Total","Female","Data tabulated by year of occurrence","Provisional figure","2024","9044",""
"United States of America","2022","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2025","20577",""
"United States of America","2022","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2025","11391",""
"United States of America","2022","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2025","9186",""
"United States of America","2019","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","20921",""
"United States of America","2019","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","11674",""
"United States of America","2019","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","9247",""
"United States of America","2019","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","17708",""
"United States of America","2019","Urban","Male","Data tabulated by year of occurrence","Final figure, complete","2021","9885",""
"United States of America","2019","Urban","Female","Data tabulated by year of occurrence","Final figure, complete","2021","7823",""
"United States of America","2019","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3213",""
"United States of America","2019","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","1789",""
"United States of America","2019","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1424",""
"United States of America","2018","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","21467",""
"United States of America","2018","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","12068",""
"United States of America","2018","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","9399",""
"United States of America","2018","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","18151",""
"United States of America","2018","Urban","Male","Data tabulated by year of occurrence","Final figure, complete","2021","10187",""
"United States of America","2018","Urban","Female","Data tabulated by year of occurrence","Final figure, complete","2021","7964",""
"United States of America","2018","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3316",""
"United States of America","2018","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","1881",""
"United States of America","2018","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1435",""
"United States of America","2017","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","22335",""
"United States of America","2017","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","12468",""
"United States of America","2017","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","9867",""
"United States of America","2017","Urban","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","18894",""
"United States of America","2017","Urban","Male","Data tabulated by year of occurrence","Final figure, complete","2021","10575",""
"United States of America","2017","Urban","Female","Data tabulated by year of occurrence","Final figure, complete","2021","8319",""
"United States of America","2017","Rural","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","3441",""
"United States of America","2017","Rural","Male","Data tabulated by year of occurrence","Final figure, complete","2021","1893",""
"United States of America","2017","Rural","Female","Data tabulated by year of occurrence","Final figure, complete","2021","1548",""
"United States of America","2016","Total","Both Sexes","Data tabulated by year of occurrence","Final figure, complete","2021","23161",""
"United States of America","2016","Total","Male","Data tabulated by year of occurrence","Final figure, complete","2021","12867",""
"United States of America","2016","Total","Female","Data tabulated by year of occurrence","Final figure, complete","2021","10294",""
